ref_number,amendment_number,agreement_type,recipient_legal_name,recipient_operating_name,recipient_business_number,recipient_province,recipient_city,prog_name_en,prog_purpose_en,agreement_value,agreement_start_date,agreement_end_date,description_en,naics_identifier,owner_org,owner_org_title
R-2023-010,0,C,Prairie Agri Innovations Inc.,Prairie Agri,805666777,Saskatchewan,Saskatoon,AgriInnovate Program,Agriculture innovation,180000,2023-02-20,2025-02-19,Precision agriculture sensors,115310,agr,Agriculture and Agri-Food Canada
R-2023-011,0,G,Summit Management Consulting Group,Summit Consulting,806777888,Ontario,Ottawa,Advisory Services Program,Management consulting,65000,2023-06-15,2024-06-14,Business strategy advisory,541611,feddevontario,FedDev Ontario
R-2023-012,0,G,Summit Management Consulting,Summit Consulting,806777888,Ontario,Ottawa,Advisory Services Program,Management consulting,N/A,2023-06-15,2024-06-14,Business strategy advisory phase 2,541611,feddevontario,FedDev Ontario
R-2023-013,0,G,Coastal Marine Engineering Inc.,Coastal Marine,807888999,Newfoundland,St. John's,Ocean Supercluster Program,Marine engineering,225000,2022-12-01,2024-11-30,Offshore platform design,541330,acoa-apeca,Atlantic Canada Opportunities Agency
R-2023-014,0,G,Boreal Software Labs,Boreal Software,808999000,Manitoba,Winnipeg,Industrial Research Assistance Program,Software R&D,130000,2023-08-01,2024-07-31,SaaS analytics platform,541510,nrc-cnrc,National Research Council
R-2023-015,0,G,Boreal Software Labs Inc,Boreal Software,808999000,mb,Winnipeg,Industrial Research Assistance Program,Software R&D,,2023-08-01,2024-07-31,SaaS analytics platform supplement,541510,nrc-cnrc,National Research Council
R-2023-016,0,G,Cascade Cyber Labs Inc.,Cascade Cyber,809000111,British Columbia,Victoria,Cyber Security Innovation Network,Cybersecurity,190000,2023-03-05,2025-03-04,Zero-trust networking research,541512,nrc-cnrc,National Research Council
R-2023-017,0,G,Hinterland Educational Media,Hinterland Media,810111222,Yukon,Whitehorse,Northern Education Initiative,Education content,72000,2023-01-10,2024-01-09,Indigenous language learning app,611710,cannor,Canadian Northern Economic Development Agency
R-2023-018,0,G,Pacific FinTech Partners Inc.,Pacific FinTech,811222333,British Columbia,Vancouver,Financial Innovation Lab,Financial services,260000,2023-05-20,2025-05-19,Payments fraud detection,522320,pacican,Pacific Economic Development Canada
R-2023-019,0,G,Maritime Manufacturing Co.,Maritime Mfg,812333444,New Brunswick,Moncton,Advanced Manufacturing Fund,Manufacturing,330000,2022-10-15,2024-10-14,Robotics assembly line,333990,acoa-apeca,Atlantic Canada Opportunities Agency
R-2023-020,0,G,Northern Arts Collective,Northern Arts,813444555,Nunavut,Iqaluit,Cultural Spaces Program,Arts and culture,45000,2023-04-01,2024-03-31,Community arts hub,711310,cannor,Canadian Northern Economic Development Agency
R-2023-021,0,G,Maple Tech Solutions Inc.,Maple Tech,800111222,Mars,Toronto,Industrial Research Assistance Program,Support SME R&D,90000,bad-date,2024-12-31,Row with unknown province and bad date,541510,nrc-cnrc,National Research Council
R-2023-022,0,G,Evergreen Robotics Inc.,Evergreen Robotics,814555666,Ontario,Kitchener,Strategic Innovation Fund,Robotics engineering,480000,2023-09-15,2026-09-14,Autonomous warehouse robotics,541330,ised-isde,Innovation Science and Economic Development
